cohort_month,month_number,active_customers,retention_rate
2016-09-01,0,1,100.0
2016-10-01,0,262,100.0
2016-10-01,6,1,0.38167938931297707
2016-10-01,9,1,0.38167938931297707
2016-10-01,11,1,0.38167938931297707
2016-12-01,0,1,100.0
2016-12-01,1,1,100.0
2017-01-01,0,717,100.0
2017-01-01,1,2,0.2789400278940028
2017-01-01,2,2,0.2789400278940028
2017-01-01,3,1,0.1394700139470014
2017-01-01,4,3,0.41841004184100417
2017-01-01,5,1,0.1394700139470014
2017-01-01,6,3,0.41841004184100417
2017-01-01,7,1,0.1394700139470014
2017-01-01,8,1,0.1394700139470014
2017-01-01,10,3,0.41841004184100417
2017-01-01,11,1,0.1394700139470014
2017-01-01,12,5,0.697350069735007
2017-02-01,0,1628,100.0
2017-02-01,1,3,0.18427518427518427
2017-02-01,2,5,0.30712530712530711
2017-02-01,3,2,0.12285012285012285
2017-02-01,4,7,0.42997542997543
2017-02-01,5,2,0.12285012285012285
2017-02-01,6,4,0.24570024570024571
2017-02-01,7,3,0.18427518427518427
2017-02-01,8,2,0.12285012285012285
2017-02-01,9,3,0.18427518427518427
2017-02-01,10,2,0.12285012285012285
2017-02-01,11,5,0.30712530712530711
2017-02-01,12,2,0.12285012285012285
2017-03-01,0,2503,100.0
2017-03-01,1,11,0.43947263284059124
2017-03-01,2,9,0.35956851777866561
2017-03-01,3,10,0.39952057530962842
2017-03-01,4,9,0.35956851777866561
2017-03-01,5,4,0.15980823012385137
2017-03-01,6,4,0.15980823012385137
2017-03-01,7,8,0.31961646024770274
2017-03-01,8,8,0.31961646024770274
2017-03-01,9,2,0.079904115061925685
2017-03-01,10,9,0.35956851777866561
2017-03-01,11,3,0.11985617259288853
2017-03-01,12,5,0.19976028765481421
2017-04-01,0,2256,100.0
2017-04-01,1,14,0.62056737588652489
2017-04-01,2,5,0.22163120567375888
2017-04-01,3,4,0.1773049645390071
2017-04-01,4,6,0.26595744680851063
2017-04-01,5,6,0.26595744680851063
2017-04-01,6,8,0.3546099290780142
2017-04-01,7,7,0.31028368794326244
2017-04-01,8,7,0.31028368794326244
2017-04-01,9,4,0.1773049645390071
2017-04-01,10,6,0.26595744680851063
2017-04-01,11,2,0.088652482269503549
2017-04-01,12,1,0.044326241134751775
2017-05-01,0,3451,100.0
2017-05-01,1,16,0.46363372935381053
2017-05-01,2,16,0.46363372935381053
2017-05-01,3,10,0.28977108084613157
2017-05-01,4,10,0.28977108084613157
2017-05-01,5,11,0.31874818893074469
2017-05-01,6,14,0.40567951318458417
2017-05-01,7,5,0.14488554042306578
2017-05-01,8,9,0.26079397276151839
2017-05-01,9,9,0.26079397276151839
2017-05-01,10,9,0.26079397276151839
2017-05-01,11,12,0.34772529701535787
2017-05-01,12,8,0.23181686467690527
2017-06-01,0,3037,100.0
2017-06-01,1,15,0.49390846229832075
2017-06-01,2,12,0.39512676983865663
2017-06-01,3,13,0.4280540006585446
2017-06-01,4,9,0.29634507737899246
2017-06-01,5,12,0.39512676983865663
2017-06-01,6,11,0.36219953901876856
2017-06-01,7,7,0.23049061573921634
2017-06-01,8,4,0.13170892327955219
2017-06-01,9,6,0.19756338491932832
2017-06-01,10,9,0.29634507737899246
2017-06-01,11,11,0.36219953901876856
2017-06-01,12,5,0.16463615409944024
2017-07-01,0,3752,100.0
2017-07-01,1,20,0.53304904051172708
2017-07-01,2,13,0.34648187633262262
2017-07-01,3,9,0.23987206823027721
2017-07-01,4,11,0.2931769722814499
2017-07-01,5,8,0.21321961620469082
2017-07-01,6,12,0.31982942430703626
2017-07-01,7,4,0.10660980810234541
2017-07-01,8,7,0.18656716417910446
2017-07-01,9,10,0.26652452025586354
2017-07-01,10,8,0.21321961620469082
2017-07-01,11,11,0.2931769722814499
2017-07-01,12,5,0.13326226012793177
2017-08-01,0,4057,100.0
2017-08-01,1,28,0.69016514666009365
2017-08-01,2,14,0.34508257333004683
2017-08-01,3,11,0.27113630761646534
2017-08-01,4,14,0.34508257333004683
2017-08-01,5,21,0.51762385999507021
2017-08-01,6,12,0.29578506285432582
2017-08-01,7,11,0.27113630761646534
2017-08-01,8,6,0.14789253142716291
2017-08-01,9,6,0.14789253142716291
2017-08-01,10,10,0.2464875523786049
2017-08-01,11,8,0.19719004190288389
2017-08-01,12,5,0.12324377618930245
2017-09-01,0,4004,100.0
2017-09-01,1,28,0.69930069930069927
2017-09-01,2,22,0.5494505494505495
2017-09-01,3,11,0.27472527472527475
2017-09-01,4,18,0.44955044955044959
2017-09-01,5,9,0.2247752247752248
