review_score,review_comment_message
5,Tudo conforme descrito
4,"Problems existem, porem, necessario compreende-los."
3,Produto com pequenos pontos de ferrugem. Não estava em perfeito estado. 
5,Adorei a mercadoria com certeza vou comprar mais.
4,Aaprelho atende expectativa para auxiliar no tratamento com fisioterapia.
5,"sempre compro e ,òtimo super recomendo "
5,Ótimo 
4,Muito bim
5,entrega rapida eficiente estou lendo -os
3,O produto estava marcado para dia 12/12 e até agora não recebi 
4,Produto entregue dentro do prazo. 
1,"Logo em seguida que eu fiz o pedido, que verifiquei que teria compro o produto errado solicitei o cancelamento, o qual nao foi realizado, Eu expliquei o motivo falei da troca por outro produto "
5,Bom gostei entregue dentro do prazo e só tenho agradecer.
5,"Adorei o produto, tudo certo, entregue conforme esperado e com as respectivas letras certas.obrigada!"
1,NAO ENVIOU O MEU PEDIDO 
1,Não entregou o pedido até hoje.
5,"Adorei o produto, em perfeita qualidade, entregue no prazo. "
4,Espero q as lannister solucione o meu caso o mais rápido possível......e deixando bem claro q esse caso foi um caso isolado...porque no geral as lannister entrega o produto no prazo determinado.
5,O produto chegou bem antes do prazo previsto e da maneira que pedi.
1,Produto está até hoje na unidade do correio em Cajamar e não chegou em minha casa. Estraviou?
5,Produto excelente entregue conforme combinado 
5,Ótimo vendedor. Recomendo a todos.
5,Tudo bem!  Entrega mais de 10 dias antes.  Grata
1,Cadê o produto???????
5,Chegou muito antes do prazo informado.
4,"Gostei, muito prática, leve, só falta avaliar a duração da carga da bateria."
5,Recebi antes do esperado. E gostei muito do produto. 
5,Produto muito bom!! Adorei!!!
5,Ótimo fornecedor 
5,"Eu indico esse produto ,realmente muito bom"
5,Produto de qualidade!
1,"o toner veio quebrado, a tinta espalhou na minha impressora, a impressao sai toda falhada, quero a devolução do dinheiro"
5,Tudo dentro dos conformes.
5,procedimento de compra até a entrega nota 10.
1,Comprei 10 e recebi somente 5. 
1,Ainda aguardando o envio do produto.
5,uma loja boa e bem atenciosa no seu atendimento vale a pena comprar 
3,"Otimo custo beneficio, super recomendo o produto"
5,produto muito bom!
5,"Deveriam reduzir o prazo de entrega, muito longo."
